pre,2W,4W,6W,8W,10W,12W,label
204.0,10.263,0.0,1.88,0.0,2.38,0.0,0.12734082272889655
5.68,3.17215,0.6,0.373,0.86807,0.66117,0.24034,0.03887187117817929
213.146,8.618,1.283,0.642,0.0,0.0,0.0,-0.0576205274910133
8.439,0.308,0.0,0.025,0.00122,0.00127,0.026,0.03879736211464524
18.644,2.785,3.591,4.155,1.01757,0.05198,0.00042,-0.04360689206360637
29.43,0.073,0.0,0.014,8e-05,0.011,4e-05,0.8222233306869584
8.16,0.384,0.03,0.006,0.0,0.0,0.0,0.9515586588595087
9.8,0.527,0.04,0.008,0.0,0.0,0.0,1.000891209560275
43.673,1.556,0.253,0.185,0.0379,0.289,0.02509,-0.07381754848832098
16.0,0.698,0.07,0.03,0.0,0.0,0.0,0.9526447197757097
10.864,0.365,0.0,0.154,0.00776,0.0,0.0,0.40647369448158766
23.85,0.921,0.075,0.004,0.0,0.0,0.0,1.0068931435056276
30.286,19.768,14.34821,16.01,18.10852,15.53258,9.73769,-0.0372806395365506
5.58,0.00189,0.049,2e-05,0.001,0.0,0.0,0.9120110962512827
23.29,0.192,0.0,0.027,0.0003,0.00066,0.06,0.06245978770049241
46.8,0.721,0.426,0.457,0.02486,0.0,0.0,0.011371135314740434
7.28,0.158,0.015,0.002,0.0,0.0,0.0,1.0107981605962724
9.34,0.26,0.01,0.00151,0.003,0.00017,0.0,0.9722686475256033
26.3,1.455,0.895,0.878,0.11493,0.00069,0.0,-0.028137830672559223
12.156,0.252,0.015,0.0,0.0,0.0,0.0,1.0002590007189391
3.96,0.298,0.024,0.005,0.0,0.00035,0.002,0.6665636863682503
4.43,0.124,0.012,0.002,9e-05,0.001,7e-05,0.9930730491576473
22.02,0.65,0.33,0.31,0.04172,0.31,0.02178,-0.052245334760276735
71.53,3.821,2.764,0.29528,0.29936,3.12,0.2991,-0.04337148973310682
11.22,0.22,0.006,0.00061,0.001,4e-05,0.0,1.0064121522248062
11.181,0.08,0.001,4e-05,0.001,1e-05,0.0,1.0043702142671547
14.37,0.484,0.041,0.006,0.0,0.001,8e-05,0.9492914960697486
80.5,2.409,0.546,0.432,0.03262,5e-05,0.0,-0.017612472164497753
39.71,0.392,0.0,0.001,5e-05,0.003,4e-05,0.9059627109670109
29.24,0.931,0.11,0.02,0.0,0.0,0.0,0.8914232923437804
21.32,1.62,0.677,0.674,0.07981,0.00112,0.0,-0.04627023214273087
9.77,0.00356,0.33,0.06,3e-05,0.02,1e-05,0.24216359248430722
23.0,0.128,0.009,0.002,9e-05,0.005,7e-05,0.8807670793209079
15.3,0.00542,0.05,0.001,0.0,0.0,0.003,0.565855542580656
35.0,19.46479,3.67,2.81,5.78627,4.06188,1.35559,-0.04437965732987747
13.687,0.406,0.029,0.006,0.0,0.0,0.0,0.922832755976519
11.35,0.394,0.037,0.007,0.00339,0.04,0.00341,0.45139915150870324
4.4,0.226,0.028,0.00597,0.01,0.001,0.0,0.8281685910341943
38.0,1.053,0.303,0.21,0.218,0.02634,5e-05,-0.022992957724800225
32.4,1.132,0.0,0.0,0.0,0.01519,0.29,0.04964267959196532
9.01,0.397,0.0,0.01,0.00352,0.05,0.00294,0.48323071868449147
37.069,0.862,0.049,0.00409,0.00046,0.01,0.00046,0.7976465621455322
10.5,0.246,0.024,0.195,0.02592,0.251,0.01465,0.038878435723425184
29.815,0.342,0.051,0.00239,0.046,0.00105,0.0,0.5353419384672655
72.39,4.128,2.954,0.33692,0.2821,2.77,0.28174,-0.038552744990501334
17.896,1.71,0.47,0.12767,0.06664,0.376,0.06594,-0.03742550204062106
675.53,0.32618,296.798,0.09956,0.0,0.0,0.0,0.0602928903345251
10.79,0.00392,0.014,0.003,0.0,0.0,0.0,0.9309745932664336
9.489,0.432,0.01508,0.435,0.02972,1e-05,0.0,0.24572374369300126
17.409,1.208,0.378,0.268,0.0098,9e-05,0.0,0.05134956254500128
21.91,0.547,0.0,0.04,0.00133,0.0042,0.126,0.007471986920208845
56.175,1.967,0.0,0.06,0.075,0.01293,0.15,0.04290962875765451
7.11,0.185,0.014,0.002,0.0,0.0,0.0,1.0098489191488076
11.4,1.5,1.06,1.02,0.15426,0.00566,3e-05,-0.003690197555506568
39.63,0.01329,0.00281,8.391,0.00281,0.0,0.0,0.15050142306765385
14.649,0.657,0.0,0.0,0.0,0.0,0.0,1.0139561614405446
9.44,0.36,0.13,0.123,0.00984,0.02092,0.23,-0.02150317929145293
14.205,0.00477,1e-05,0.015,1e-05,0.012,0.0,0.7974234876903433
12.017,0.663,0.055,0.006,0.0,0.003,0.0004,0.9109020540761347
17.722,0.64,0.068,0.024,0.00097,0.00531,0.06,0.05318738721237222
10.035,0.422,0.098,0.105,0.02938,0.2,0.02027,-0.031041185640761974
6.453,0.00217,0.011,0.0,0.0,0.001,0.0,0.9475850501864314
9.7,0.00325,0.0,0.0,0.003,0.0,0.0,0.9606046106765502
29.595,1.443,0.087,0.02123,0.0004,0.004,0.00038,0.7811067616155576
28.0,0.38,0.04,0.01,0.003,0.00051,0.01,0.19969510241237148
85.763,4.889,1.995,3.949,0.64639,0.00531,0.0,-0.06568309089079957
7.82,0.26,0.0,0.0,0.0,0.0,0.0,1.0269186678553477
8.526,0.243,0.022,0.004,0.0,0.0,0.0,0.9327472798837044
46.2,1.628,0.269,0.179,0.0273,0.168,0.222,-0.07205809960690117
133.0,12.05,0.0,11.78,0.0,0.0,0.0,0.07011762150373568
28.1,0.078,0.00124,0.34,0.0014,0.0,0.0,0.21750979651859775
3.65,0.058,0.001,0.00031,0.0,0.0,0.0,1.0284320452574498
23.11,0.78,0.08,0.05,0.07,0.01761,0.11,0.00694403568656713
36.816,13.088,11.158,12.776,4.32018,0.27535,0.0,-0.06782611908897908
12.0,0.193,0.023,0.01,0.0004,0.0,0.0,0.9210627525054594
